"","AMBI_1","AMBI_2","AMBI_3","AMBI_4","AMBI_5","AMBI_6","AMBI_7","AMBI_8","AMBI_9","AMBI_10","AMBI_11","AMBI_12","AMBI_13","AMBI_14","AMBI_15","AMBI_16","AMBI_17","AMBI_18","AMBI_19","AMBI_20","AMBI_21","AMBI_22","AMBI_23","AMBI_24","AMBI_25","AMBI_26","AMBI_27","AMBI_28","AMBI_29","AMBI_30","AMBI_31","AMBI_32","AMBI_33","AMBI_34","AMBI_35","AMBI_36","AMBI_37","AMBI_38","AMBI_39","AMBI_40","AMBI_41","AMBI_42","AMBI_43","AMBI_44","AMBI_45","AMBI_46","AMBI_47","AMBI_48","AMBI_49","AMBI_50","AMBI_51","AMBI_52","AMBI_53","AMBI_54","AMBI_55","AMBI_56","AMBI_57","AMBI_58","AMBI_59","AMBI_60","AMBI_61","AMBI_62","AMBI_63","AMBI_64","AMBI_65","AMBI_66","AMBI_67","AMBI_68","AMBI_69","AMBI_70","AMBI_71","AMBI_72","AMBI_73","AMBI_74","AMBI_75","AMBI_76","AMBI_77","AMBI_78","AMBI_79","AMBI_80","AMBI_81","AMBI_82","AMBI_83","AMBI_84","AMBI_85","AMBI_86","AMBI_87","AMBI_88","AMBI_89","AMBI_90","AMBI_91","AMBI_92","AMBI_93","AMBI_94","AMBI_95","AMBI_96","AMBI_97","AMBI_98","AMBI_99","AMBI_100","AMBI_101","AMBI_102","AMBI_103","AMBI_104","AMBI_105","AMBI_106","AMBI_107","AMBI_108","AMBI_109","AMBI_110","AMBI_111","AMBI_112","AMBI_113","AMBI_114","AMBI_115","AMBI_116","AMBI_117","AMBI_118","AMBI_119","AMBI_120","AMBI_121","AMBI_122","AMBI_123","AMBI_124","AMBI_125","AMBI_126","AMBI_127","AMBI_128","AMBI_129","AMBI_130","AMBI_131","AMBI_132","AMBI_133","AMBI_134","AMBI_135","AMBI_136","AMBI_137","AMBI_138","AMBI_139","AMBI_140","AMBI_141","AMBI_142","AMBI_143","AMBI_144","AMBI_145","AMBI_146","AMBI_147","AMBI_148","AMBI_149","AMBI_150","AMBI_151","AMBI_152","AMBI_153","AMBI_154","AMBI_155","AMBI_156","AMBI_157","AMBI_158","AMBI_159","AMBI_160","AMBI_161","AMBI_162","AMBI_163","AMBI_164","AMBI_165","AMBI_166","AMBI_167","AMBI_168","AMBI_169","AMBI_170","AMBI_171","AMBI_172","AMBI_173","AMBI_174","AMBI_175","AMBI_176","AMBI_177","AMBI_178","AMBI_179","AMBI_180","AMBI_181"
"32",1,3,3,4,2,4,5,3,3,3,3,4,4,3,5,2,5,3,4,2,4,3,3,3,3,3,3,2,5,4,4,1,2,2,4,1,5,3,3,4,4,5,1,3,3,2,1,5,5,4,2,2,1,1,2,3,3,5,3,2,5,3,1,4,1,5,5,3,2,3,4,4,1,4,1,3,4,1,3,4,2,3,2,4,4,3,4,1,2,4,3,3,5,2,1,4,3,3,2,4,2,4,2,1,5,4,3,3,3,2,4,3,4,1,1,3,2,2,4,1,5,4,1,4,4,3,4,4,2,3,4,5,4,5,5,4,3,3,2,4,4,3,4,4,3,1,5,2,2,2,1,2,4,4,2,1,1,4,4,2,2,3,2,3,2,4,3,5,3,2,3,5,4,2,4,2,4,4,2,2,4
"33",2,2,4,2,2,2,2,4,4,3,2,3,2,2,2,2,4,4,3,2,4,2,3,4,1,2,3,2,5,5,4,1,2,5,2,3,3,1,3,4,4,5,2,4,2,2,1,3,4,2,4,4,1,1,1,1,4,5,2,3,4,2,4,3,2,5,3,2,4,1,5,4,3,3,2,3,3,4,4,4,2,2,2,4,4,2,2,4,3,3,2,4,4,4,2,5,2,4,1,3,2,4,5,2,2,5,4,2,2,4,4,4,2,1,2,4,4,1,2,3,4,5,3,5,3,2,4,3,3,3,5,5,3,5,3,4,3,2,2,5,3,2,4,2,4,2,5,4,2,3,4,5,2,4,5,1,2,2,4,3,2,4,2,4,3,2,2,4,2,2,4,3,2,4,5,4,3,2,4,3,5
"34",1,3,1,4,4,1,3,4,5,2,1,4,5,5,1,4,1,1,1,1,5,1,1,5,5,3,4,1,5,5,5,1,4,4,1,5,5,1,4,4,5,3,3,4,3,1,1,3,5,1,2,4,1,1,5,4,5,2,1,1,5,1,4,3,1,3,5,5,5,2,5,1,1,1,3,5,5,1,5,4,5,1,4,4,4,4,1,1,1,1,1,4,2,4,3,5,4,1,1,1,5,5,3,1,1,5,2,4,2,5,3,4,5,1,5,1,4,5,1,1,5,5,3,5,4,2,3,5,5,1,5,5,4,5,5,3,4,1,1,5,5,3,2,4,3,1,4,4,3,1,2,2,4,4,3,1,1,4,4,5,1,5,3,4,2,4,4,5,3,1,5,4,2,4,4,5,4,2,2,3,5
"35",2,4,4,4,3,3,1,1,3,3,3,4,3,4,1,4,2,3,4,5,3,3,5,1,3,1,5,4,1,3,1,1,1,1,3,4,3,3,5,3,4,1,3,4,3,3,3,3,3,3,1,1,2,1,5,3,2,5,3,3,4,4,3,3,2,4,1,3,3,3,3,1,4,2,4,3,3,3,3,2,4,3,3,2,2,2,3,4,1,2,2,5,5,5,3,3,4,4,4,4,4,4,1,3,4,5,1,4,3,4,4,3,4,2,3,3,1,2,1,3,3,4,1,3,1,3,4,3,3,1,3,4,3,3,1,3,4,2,1,2,5,4,3,4,3,3,3,3,4,2,1,1,3,2,1,1,2,3,3,3,3,2,4,2,4,5,4,3,3,5,3,3,5,3,2,3,5,3,3,2,3
"36",2,3,2,4,4,2,1,2,3,4,2,5,2,2,2,1,2,2,4,2,4,2,4,3,2,1,4,3,4,4,4,1,4,2,2,4,4,1,2,4,4,4,3,4,5,2,4,2,2,5,2,2,5,5,4,2,4,4,2,3,2,2,4,4,3,2,2,4,4,4,4,4,2,2,4,1,4,2,4,4,2,4,1,4,2,2,2,2,4,4,2,4,2,4,4,4,2,4,2,2,2,4,2,4,1,2,1,4,4,4,4,2,4,4,2,4,2,2,4,1,4,4,4,2,4,2,3,2,4,4,4,4,4,4,4,4,2,4,1,2,4,4,1,2,4,2,4,4,4,2,2,4,2,2,2,5,1,5,4,2,2,4,2,2,4,2,2,3,4,1,4,2,2,4,4,4,4,5,4,4,2
"37",1,2,2,1,2,2,1,5,2,5,4,4,4,2,4,3,2,3,5,3,5,3,2,4,3,1,5,4,5,5,4,2,5,5,4,5,3,3,5,4,4,5,5,4,1,2,1,1,5,3,1,4,3,2,4,4,4,3,2,3,5,3,2,4,2,1,4,4,5,1,5,5,1,1,5,4,4,4,5,5,3,5,3,1,2,2,2,3,4,5,1,4,2,5,2,4,4,3,3,4,3,5,3,2,1,1,3,5,5,4,5,4,1,3,5,4,1,2,3,4,4,4,4,5,4,3,4,2,1,4,4,5,4,5,5,4,2,1,3,5,3,5,1,2,5,2,5,5,4,1,2,5,5,2,3,2,3,3,5,4,2,5,4,2,2,3,1,2,2,5,4,4,1,5,3,4,2,5,4,5,4
"38",3,4,3,2,2,3,4,4,4,3,4,2,4,3,2,4,4,2,3,2,4,3,1,5,2,1,5,2,3,4,3,2,4,2,3,3,4,3,4,4,4,2,2,3,3,2,2,4,2,3,3,4,2,2,3,2,3,4,3,4,3,4,3,4,3,2,4,4,4,2,3,2,2,3,4,2,2,4,5,3,3,3,1,3,5,3,3,2,2,4,4,5,4,3,3,3,4,2,2,4,3,4,3,3,2,3,2,4,3,2,3,3,4,2,3,3,3,4,1,3,4,4,3,4,3,3,3,3,4,4,3,3,3,3,3,4,3,3,2,4,3,4,4,3,4,2,4,3,3,2,3,3,2,4,2,3,2,3,3,3,3,3,3,4,4,4,3,5,4,3,3,2,4,4,3,4,4,4,3,4,3
"39",1,4,2,2,2,1,1,3,2,4,2,5,1,2,2,1,2,2,4,3,3,1,3,3,3,1,5,3,3,4,3,1,2,3,3,2,4,1,3,1,4,2,5,3,2,1,2,2,2,2,1,2,1,1,5,2,2,3,2,1,3,1,1,4,2,1,1,5,5,1,4,1,1,1,4,5,5,1,4,2,4,1,1,1,3,1,2,1,3,2,3,5,3,5,2,4,1,2,1,1,2,3,2,2,1,1,1,2,4,3,4,1,2,1,4,2,2,1,1,2,4,3,2,4,1,2,3,3,3,1,2,5,4,4,4,1,3,1,2,4,3,4,3,3,2,1,1,2,5,1,2,1,3,2,1,1,1,3,1,2,1,2,2,3,3,2,2,3,1,3,4,3,2,5,3,3,5,1,2,2,5
"40",1,3,3,3,3,1,2,5,1,3,1,5,5,3,3,1,1,3,4,2,4,2,5,5,3,2,2,1,5,4,4,1,5,5,2,4,3,1,1,2,4,5,2,1,1,1,1,5,5,3,1,2,1,1,2,5,4,3,1,4,5,1,1,2,2,1,5,4,4,1,5,1,1,4,3,5,5,1,5,5,2,1,1,3,4,1,4,2,1,1,1,5,1,3,1,5,1,3,3,3,3,5,2,1,1,3,1,5,4,1,5,5,2,1,5,1,4,1,4,1,5,5,4,4,5,3,3,5,3,1,5,5,2,5,4,3,4,1,3,5,5,1,1,5,3,1,5,5,3,3,1,1,3,5,4,3,1,1,3,3,3,5,5,3,1,3,5,1,1,1,1,3,1,3,4,5,3,5,3,5,3
"41",2,4,5,4,2,5,1,2,1,4,3,2,4,4,2,1,3,3,4,5,1,3,3,2,4,1,5,3,2,1,4,3,1,3,2,3,1,2,3,2,4,2,3,4,3,3,2,3,4,4,1,2,2,2,3,3,2,4,2,3,2,3,1,4,1,5,2,4,5,3,4,3,1,3,5,2,2,3,3,3,3,2,2,1,2,2,4,4,3,4,3,5,5,5,3,3,3,3,4,2,5,5,2,2,3,5,3,4,5,5,5,3,2,3,5,3,2,3,3,4,3,5,2,3,3,2,4,5,4,2,4,5,4,3,4,5,3,4,1,3,3,3,1,3,2,2,4,5,4,3,1,4,4,5,4,2,3,4,3,2,3,3,5,4,3,4,3,2,2,5,2,4,2,2,4,4,5,3,4,4,5
"42",3,4,3,4,4,3,3,3,3,4,4,5,1,2,2,4,2,4,2,3,2,2,3,2,2,1,5,4,2,3,4,4,1,5,2,2,2,3,5,2,5,2,4,4,4,2,2,2,2,3,3,4,1,1,5,5,1,5,4,3,4,2,4,5,2,4,1,4,5,5,2,1,3,2,4,5,4,4,5,4,3,1,1,1,4,4,1,4,2,5,4,5,3,5,4,2,5,3,4,1,3,4,2,4,4,5,1,4,5,4,4,2,3,2,4,4,1,4,4,3,2,4,1,4,4,2,5,5,2,3,2,5,5,2,3,2,4,1,1,3,4,4,2,3,2,1,2,2,4,2,2,4,2,5,1,1,3,5,1,2,2,1,2,3,4,4,3,4,4,3,3,2,4,4,3,3,5,2,2,3,4
"43",2,3,4,4,3,4,2,2,4,4,4,5,2,2,4,4,5,2,5,4,3,3,5,1,4,1,5,4,5,1,2,1,2,2,4,3,2,3,2,1,4,2,2,5,4,4,1,2,3,4,1,1,1,1,4,2,2,2,2,2,4,4,2,5,1,3,3,5,2,4,4,2,4,1,5,5,5,5,5,4,4,2,1,2,3,4,2,4,2,4,4,5,4,5,1,4,3,4,5,1,3,2,1,5,1,3,2,5,3,4,5,5,2,2,4,2,1,4,1,4,4,4,2,4,2,2,4,4,2,2,4,4,5,4,4,2,2,2,1,2,2,4,2,2,2,3,2,4,2,1,2,4,4,2,2,2,4,2,5,2,2,2,2,5,2,4,2,4,2,4,2,2,4,4,2,2,4,1,1,3,2
"44",5,4,1,1,1,1,5,2,4,2,4,4,2,5,2,5,4,1,2,1,1,1,4,2,2,5,5,1,5,5,5,1,1,4,2,1,5,1,2,4,2,5,1,4,2,2,2,5,4,5,5,2,1,1,5,5,1,1,4,4,5,4,5,2,2,5,3,1,1,5,5,4,1,5,1,5,4,1,5,4,4,5,2,5,5,2,4,1,5,4,5,5,5,5,3,5,1,4,1,4,1,5,5,5,1,5,2,2,5,3,2,2,5,1,1,2,5,1,1,1,4,5,2,4,4,4,2,4,4,1,4,5,4,5,1,5,4,3,2,2,4,4,5,4,5,4,4,1,1,4,4,5,1,1,4,1,1,4,2,4,5,2,1,1,4,4,2,5,1,1,5,2,5,5,2,5,4,4,1,2,2
"45",2,4,4,4,4,2,4,4,2,4,2,4,3,5,1,4,1,4,5,1,5,4,5,4,4,2,5,2,4,5,2,1,1,4,2,2,2,2,3,4,5,4,2,4,1,4,2,4,4,2,1,4,1,1,5,4,1,5,1,2,4,2,1,5,2,5,2,2,2,4,4,2,2,2,5,1,4,2,4,4,4,2,1,1,4,2,4,2,2,4,2,5,5,5,2,4,4,2,2,2,5,5,2,1,5,5,1,4,4,5,4,2,2,1,4,2,2,2,3,2,2,4,2,5,2,4,2,5,2,2,4,5,5,5,3,2,4,2,1,2,5,4,4,4,4,1,2,2,2,2,1,2,2,4,5,2,1,2,4,2,2,2,4,4,1,4,4,3,1,4,4,2,4,3,1,5,5,1,4,2,4
"46",2,3,4,4,4,4,3,4,3,4,2,4,2,4,1,3,4,3,4,4,4,4,4,3,4,1,4,1,5,3,2,2,2,4,2,3,1,2,4,3,5,3,2,4,3,2,2,2,4,2,2,1,1,1,4,1,3,2,2,4,4,2,3,2,1,4,1,2,4,2,5,4,4,2,4,4,4,1,4,4,2,2,1,3,4,1,5,5,2,1,2,5,4,4,2,5,3,4,3,1,4,3,5,2,2,4,1,1,4,5,4,2,2,2,3,1,3,3,1,2,3,4,3,3,3,3,2,4,4,3,4,4,4,4,3,4,3,3,2,2,3,2,2,4,3,3,4,3,4,4,4,3,2,3,2,3,4,4,4,3,4,2,4,4,4,3,4,4,4,4,2,2,4,3,4,4,4,3,3,4,3
"47",4,3,4,4,4,2,3,3,3,4,3,3,2,4,3,3,3,4,3,3,4,1,3,4,4,4,3,4,4,4,4,3,4,3,3,4,4,3,3,3,3,3,4,4,3,3,3,3,3,3,1,4,3,2,3,4,3,4,4,4,4,3,3,3,1,2,2,4,4,4,3,3,1,4,2,3,4,3,4,3,3,1,3,3,3,3,3,4,3,4,3,4,3,3,3,3,3,2,2,2,3,4,3,3,3,3,3,2,4,3,3,3,3,3,3,3,3,3,2,2,2,3,3,2,4,4,2,2,5,4,4,3,3,3,3,4,4,3,3,3,3,3,3,4,3,3,3,3,2,3,3,3,3,3,5,1,3,2,4,3,2,3,3,3,3,3,3,3,4,3,3,4,2,3,2,2,3,3,2,4,3
"48",1,2,1,4,4,2,5,5,1,4,1,5,5,2,1,2,1,1,4,4,5,2,1,5,4,3,5,4,1,4,5,1,2,5,2,3,4,1,5,2,3,4,4,3,3,2,2,2,4,1,2,2,1,1,4,5,4,4,4,4,5,1,4,5,2,1,5,4,5,3,5,1,1,1,1,5,5,1,4,2,1,2,1,4,5,2,4,3,3,1,2,5,3,4,5,1,1,1,1,1,2,5,1,1,2,4,1,1,5,2,4,5,5,1,5,1,2,1,1,1,1,1,4,4,4,2,4,1,2,1,1,5,4,1,5,1,3,1,1,2,5,1,1,2,2,1,4,4,5,3,1,2,5,4,4,1,2,5,2,1,1,5,5,3,4,5,4,4,4,4,2,3,1,4,2,4,4,4,2,4,2
"49",1,2,4,3,1,2,1,4,2,4,1,5,3,3,1,4,2,2,4,1,4,3,2,3,2,1,4,3,3,4,2,1,2,5,1,1,2,2,4,4,5,3,3,3,2,2,3,3,4,1,2,4,3,3,5,5,4,3,2,2,4,2,1,5,2,4,3,4,4,4,5,2,4,4,5,4,4,2,3,2,2,3,2,1,4,3,5,2,2,3,2,4,4,4,3,4,4,4,3,2,4,3,2,1,2,5,1,3,4,3,4,3,1,1,5,2,2,2,1,2,5,5,3,5,2,4,4,3,4,2,5,3,4,5,5,2,5,1,5,2,3,4,5,3,1,2,5,4,3,1,1,3,4,4,4,3,3,4,4,3,2,2,4,3,2,3,3,5,4,3,5,5,1,5,2,4,5,3,2,4,5
"50",1,2,2,1,3,2,4,3,2,3,1,2,4,4,2,2,1,1,4,1,5,3,4,2,2,1,5,1,5,5,4,1,3,4,3,2,4,1,3,1,4,2,3,3,1,2,2,3,4,4,1,3,3,1,1,5,4,1,3,1,3,4,1,3,2,2,4,2,4,4,4,4,1,2,1,1,4,1,5,4,4,2,3,3,4,1,2,2,5,2,3,5,4,5,1,4,2,2,1,3,2,4,4,2,1,4,3,4,3,3,5,2,2,1,2,3,4,1,1,1,4,4,2,3,3,4,1,4,4,1,5,5,3,5,5,3,5,4,5,5,2,2,2,4,3,2,3,2,3,2,2,3,2,3,4,1,1,3,4,4,2,1,2,3,1,3,4,5,1,3,5,2,2,3,5,5,4,4,3,4,4
